year,name,level,avgSalary,employees
2014,Firstline supervisors of office & administrative support workers,3,53407.8,1305625
2015,Firstline supervisors of office & administrative support workers,3,53295.1,1344364
2014,"Switchboard operators, including answering service",3,25728.8,29532
2015,"Switchboard operators, including answering service",3,27494.4,29361
2014,Telephone operators,3,30127.4,38705
2015,Telephone operators,3,26267.3,36982
2014,"Communications equipment operators, all other",3,42627.4,12364
2015,"Communications equipment operators, all other",3,51205.3,10213
2014,Bill & account collectors,3,33605.8,170501
2015,Bill & account collectors,3,33602.1,168124
2014,Billing & posting clerks,3,32828.6,478017
2015,Billing & posting clerks,3,34027.6,480035
2014,"Bookkeeping, accounting, & auditing clerks",3,35003.5,1144243
2015,"Bookkeeping, accounting, & auditing clerks",3,35270.1,1151220
2014,Gaming cage workers,3,25465.9,9050
2015,Gaming cage workers,3,27508.5,7011
2014,Payroll & timekeeping clerks,3,38522.6,163135
2015,Payroll & timekeeping clerks,3,40373.7,164306
2014,Procurement clerks,3,60171.9,30742
2015,Procurement clerks,3,58279.9,30317
2014,Tellers,3,22786.9,364744
2015,Tellers,3,23576.7,345709
2014,Other financial clerks,3,65645.2,112530
2015,Other financial clerks,3,69472.7,121484
2014,Brokerage clerks,3,45817.2,7860
2015,Brokerage clerks,3,49778.6,5438
2014,"Court, municipal, & license clerks",3,36772.7,70660
2015,"Court, municipal, & license clerks",3,37830.6,74739
2014,"Credit authorizers, checkers, & clerks",3,44261.7,42823
2015,"Credit authorizers, checkers, & clerks",3,44019.4,50702
2014,Customer service representatives,3,29642.9,2657374
2015,Customer service representatives,3,29728,2730292
2014,"Eligibility interviewers, government programs",3,43403.8,74062
2015,"Eligibility interviewers, government programs",3,41779.8,73802
2014,File clerks,3,25815,278486
2015,File clerks,3,26434.3,246838
2014,"Hotel, motel, & resort desk clerks",3,19295.6,144366
2015,"Hotel, motel, & resort desk clerks",3,19715.6,142442
2014,"Interviewers, except eligibility & loan",3,28210.6,129156
2015,"Interviewers, except eligibility & loan",3,28825.6,133655
2014,"Library assistants, clerical",3,16949.7,105488
2015,"Library assistants, clerical",3,16336.1,106204
2014,Loan interviewers & clerks,3,44882.2,111491
2015,Loan interviewers & clerks,3,42248.7,117749
2014,New accounts clerks,3,38789.9,14628
2015,New accounts clerks,3,50230.7,14997
2014,"Human resources assistants, except payroll & timekeeping",3,39228.1,63833
2015,"Human resources assistants, except payroll & timekeeping",3,37533.8,50385
2014,Receptionists & information clerks,3,21939.7,1148200
2015,Receptionists & information clerks,3,22558.1,1172499
2014,Reservation & transportation ticket agents & travel clerks,3,36461.8,120862
2015,Reservation & transportation ticket agents & travel clerks,3,35198,128701
2014,"Information & record clerks, all other",3,34674.9,100513
2015,"Information & record clerks, all other",3,35909.3,89399
2014,Correspondence clerks & order clerks,3,30487.8,120471
2015,Correspondence clerks & order clerks,3,31371.7,139357
2014,Cargo & freight agents,3,41710.9,20247
2015,Cargo & freight agents,3,38394.5,21501
2014,Couriers & messengers,3,35580.4,194530
2015,Couriers & messengers,3,34666.2,202711
2014,Dispatchers,3,38356.8,290769
2015,Dispatchers,3,39197.2,276129
2014,"Meter readers, utilities",3,35650.9,28356
2015,"Meter readers, utilities",3,42118.4,27074
2014,Postal service clerks,3,49431.2,106370
2015,Postal service clerks,3,49221.3,110677
2014,Postal service mail carriers,3,48549.5,297881
2015,Postal service mail carriers,3,48500.6,319578
2014,"Postal service mail sorters, processors, & processing machine operators",3,46115.8,64146
2015,"Postal service mail sorters, processors, & processing machine operators",3,44918.7,68148
2014,"Production, planning, & expediting clerks",3,47162.5,320740
2015,"Production, planning, & expediting clerks",3,46643.2,319527
2014,"Shipping, receiving, & traffic clerks",3,29131,609483
2015,"Shipping, receiving, & traffic clerks",3,29166.8,611758
2014,Stock clerks & order fillers,3,21213.5,1597238
2015,Stock clerks & order fillers,3,21645.9,1654544
2014,"Weighers, measurers, checkers, & samplers, recordkeeping",3,33446,81180
2015,"Weighers, measurers, checkers, & samplers, recordkeeping",3,35389.3,78875
2014,Secretaries & administrative assistants,3,33160.2,3223525
2015,Secretaries & administrative assistants,3,34228.7,3229257
2014,Computer operators,3,41585.6,82809
2015,Computer operators,3,41365.8,94570
2014,Data entry keyers,3,28365.9,343003
2015,Data entry keyers,3,28287.6,350715
2014,Word processors & typists,3,29422.1,305520
2015,Word processors & typists,3,30435.8,296520
2014,Insurance claims & policy processing clerks,3,37765.9,365380
2015,Insurance claims & policy processing clerks,3,38681.9,384771
2014,"Mail clerks & mail machine operators, except postal service",3,25100.7,81065
2015,"Mail clerks & mail machine operators, except postal service",3,24461.7,82520
2014,"Office clerks, general",3,28988.4,1258233
2015,"Office clerks, general",3,29237.9,1345853
2014,"Office machine operators, except computer",3,24689.7,30935
2015,"Office machine operators, except computer",3,24386,40553
2014,Proofreaders & copy markers,3,29228,10537
2015,Proofreaders & copy markers,3,26740.4,11002
2014,Statistical assistants,3,40955.9,17434
2015,Statistical assistants,3,49249.4,19361
2014,"Miscellaneous office & administrative support workers, including desktop publishers",3,37824.6,616797
2015,"Miscellaneous office & administrative support workers, including desktop publishers",3,38852.1,622752
2014,"Farming, Fishing, & Forestry Occupations",2,22473.8,1029697
2015,"Farming, Fishing, & Forestry Occupations",2,23651.6,1024305
2014,"Natural resources, construction, & maintenance occupations",0,41136.7,11854937
2015,"Natural resources, construction, & maintenance occupations",0,42234.4,12221858
2014,"Firstline supervisors of farming, fishing, & forestry workers",3,42976.5,49494
2015,"Firstline supervisors of farming, fishing, & forestry workers",3,41631,55308
2014,Agricultural inspectors,3,47516.1,12280
2015,Agricultural inspectors,3,45403.6,14066
2014,"Graders & sorters, agricultural products",3,17772.3,59068
2015,"Graders & sorters, agricultural products",3,19963,51701
2014,"Miscellaneous agricultural workers, including animal breeders",3,20236.2,820549
2015,"Miscellaneous agricultural workers, including animal breeders",3,21283.5,827484
2014,Fishing & hunting workers,3,34472.1,21560
2015,Fishing & hunting workers,3,40958.2,18429
2014,Forest & conservation workers,3,27423.3,15395
2015,Forest & conservation workers,3,32458,12188
2014,Logging workers,3,31365.9,51351
2015,Logging workers,3,33037.1,45129
2014,Construction & Extraction Occupations,1,41409.9,6415593
2015,Construction & Extraction Occupations,1,42583.8,6646763
2014,Firstline supervisors of construction trades & extraction workers,3,65612,649288
2015,Firstline supervisors of construction trades & extraction workers,3,66073.4,689245
2014,Boilermakers,3,53835.9,12887
2015,Boilermakers,3,57693.5,15826
2014,Carpenters,3,34494.5,892935
2015,Carpenters,3,36319.5,932667
2014,"Carpet, floor, & tile installers & finishers",3,30990.6,117740
2015,"Carpet, floor, & tile installers & finishers",3,33822.3,116180
2014,"Cement masons, concrete finishers, & terrazzo workers",3,33234.7,47672
2015,"Cement masons, concrete finishers, & terrazzo workers",3,36149.4,51477
2014,Construction laborers,3,32099.2,1430812
2015,Construction laborers,3,33000.5,1480029
2014,"Paving, surfacing, & tamping equipment operators",3,40059.8,11554
2015,"Paving, surfacing, & tamping equipment operators",3,31322.4,12764
2014,"Construction equipment operators except paving, surfacing, & tamping equipment operators",3,48369.5,324128
2015,"Construction equipment operators except paving, surfacing, & tamping equipment operators",3,48529.9,325949
2014,"Drywall installers, ceiling tile installers, & tapers",3,30927.7,120554
2015,"Drywall installers, ceiling tile installers, & tapers",3,31311.6,125906
2014,Electricians,3,49558.2,696561
2015,Electricians,3,51865.4,748837
2014,Glaziers,3,38269.4,39912
2015,Glaziers,3,40167.4,35386
2014,Insulation workers,3,42505.9,43467
2015,Insulation workers,3,38027.1,39536
2014,Painters & paperhangers,3,29542.6,436500
2015,Painters & paperhangers,3,29398.9,447309
2014,"Pipelayers, plumbers, pipefitters, & steamfitters",3,45805.2,479203
2015,"Pipelayers, plumbers, pipefitters, & steamfitters",3,47051.9,503410
2014,Plasterers & stucco masons,3,31631.1,24363
2015,Plasterers & stucco masons,3,30285.5,31664
2014,Roofers,3,28428.7,173783
2015,Roofers,3,29813.4,184530
2014,Sheet metal workers,3,40420,123047
2015,Sheet metal workers,3,42402.5,121544
2014,Structural iron & steel workers,3,45152.8,59826
2015,Structural iron & steel workers,3,47126.4,56656
2014,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",3,33152.7,123181
2015,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",3,36047.6,119933
2014,"Helpers, construction trades",3,24833.5,50817
2015,"Helpers, construction trades",3,27119.2,44303
2014,Construction & building inspectors,3,52678.8,79002
2015,Construction & building inspectors,3,52952.3,83443
2014,Elevator installers & repairers,3,89569.9,21439
2015,Elevator installers & repairers,3,77362.5,24215
2014,Fence erectors,3,26904.1,26468
2015,Fence erectors,3,27312.4,22863
2014,Hazardous materials removal workers,3,42325.6,30395
2015,Hazardous materials removal workers,3,41025,32264
2014,Highway maintenance workers,3,38070.9,94176
2015,Highway maintenance workers,3,39700.7,109162
2014,Railtrack laying & maintenance equipment operators,3,49232.5,12400
2015,Railtrack laying & maintenance equipment operators,3,54726.2,15490
2014,"Earth drillers, except oil & gas",3,55781.1,27435
2015,"Earth drillers, except oil & gas",3,60721.4,24745
2014,"Explosives workers, ordnance handling experts, & blasters",3,43357.6,19851
2015,"Explosives workers, ordnance handling experts, & blasters",3,45147.2,16138
2014,Mining machine operators,3,62750.3,66755
2015,Mining machine operators,3,65180.8,64583
2014,"Miscellaneous extraction workers, including roof bolters & helpers",3,57069,86466
2015,"Miscellaneous extraction workers, including roof bolters & helpers",3,60643.4,69022
2014,"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",3,73235.7,52587
2015,"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",3,82394.4,39211
2014,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",3,35361.5,40389
2015,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",3,35798.8,62476
2014,"Installation, maintenance, & repair occupations",1,45097.2,4409647
2015,"Installation, maintenance, & repair occupations",1,45906.7,4550790
2014,"Firstline supervisors of mechanics, installers, & repairers",3,62229.6,271445
2015,"Firstline supervisors of mechanics, installers, & repairers",3,61365.8,273494
2014,"Computer, automated teller, & office machine repairers",3,42607,182173
2015,"Computer, automated teller, & office machine repairers",3,43235.1,191987
2014,Radio & telecommunications equipment installers & repairers,3,54725.2,160754
2015,Radio & telecommunications equipment installers & repairers,3,50866.3,164466
2014,Avionics technicians,3,51010.5,22427
2015,Avionics technicians,3,45536.8,25516
2014,"Electric motor, power tool, & related repairers",3,46959.6,23055
2015,"Electric motor, power tool, & related repairers",3,45897.1,23801
2014,"Electronic equipment installers & repairers, motor vehicles",3,46509.5,11984
2015,"Electronic equipment installers & repairers, motor vehicles",3,55161.9,10162
2014,Electronic home entertainment equipment installers & repairers,3,38685.9,36716
2015,Electronic home entertainment equipment installers & repairers,3,39993.9,35386
2014,Security & fire alarm systems installers,3,43865.8,49708
2015,Security & fire alarm systems installers,3,42764.7,57831
2014,"Electrical & electronics repairers, transportation equipment, & industrial & utility",3,51705.7,20452
2015,"Electrical & electronics repairers, transportation equipment, & industrial & utility",3,52569.7,19399
2014,Aircraft mechanics & service technicians,3,52855,162053
2015,Aircraft mechanics & service technicians,3,53598.3,190699
2014,Automotive body & related repairers,3,38543.7,124933
2015,Automotive body & related repairers,3,41531.8,127928
2014,Automotive glass installers & repairers,3,32415,14582
2015,Automotive glass installers & repairers,3,35040.8,15597
2014,Automotive service technicians & mechanics,3,36880.8,758730
2015,Automotive service technicians & mechanics,3,38367,740508
2014,Bus & truck mechanics & diesel engine specialists,3,43847.9,276084
2015,Bus & truck mechanics & diesel engine specialists,3,43641.3,305405
2014,Heavy vehicle & mobile equipment service technicians & mechanics,3,51254.3,204121
2015,Heavy vehicle & mobile equipment service technicians & mechanics,3,52122.8,197279
2014,Small engine mechanics,3,33298.4,42619
2015,Small engine mechanics,3,31859.2,42315
2014,"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",3,24940.4,74749
2015,"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",3,29799.2,76479
2014,Control & valve installers & repairers,3,53407.8,17007
2015,Control & valve installers & repairers,3,58741.2,19625
2014,"Heating, air conditioning, & refrigeration mechanics & installers",3,42928.2,316187
2015,"Heating, air conditioning, & refrigeration mechanics & installers",3,44178.2,347439
2014,Home appliance repairers,3,35165.1,29992
2015,Home appliance repairers,3,41879.6,30209
2014,"Maintenance workers, machinery",3,45936.1,31050
2015,"Maintenance workers, machinery",3,50628.8,34402
2014,Millwrights,3,59715.1,44421
2015,Millwrights,3,59267.4,45066
2014,Industrial & refractory machinery mechanics,3,49357.7,366864
2015,Industrial & refractory machinery mechanics,3,49917.2,397550
2014,Electrical powerline installers & repairers,3,69264.2,108834
2015,Electrical powerline installers & repairers,3,73257.7,114016
2014,Telecommunications line installers & repairers,3,48736.2,132501
2015,Telecommunications line installers & repairers,3,50293.1,149854
2014,Precision instrument & equipment repairers,3,49686.5,50740
2015,Precision instrument & equipment repairers,3,50049.6,58131
2014,"Maintenance & repair workers, general",3,42741.4,546124
2015,"Maintenance & repair workers, general",3,42441.4,502525
2014,"Coin, vending, & amusement machine servicers & repairers",3,33386,34922
2015,"Coin, vending, & amusement machine servicers & repairers",3,31482.8,30579
2014,Locksmiths & safe repairers,3,47288.9,19548
2015,Locksmiths & safe repairers,3,41325.6,19493
2014,Riggers,3,40780.2,12927
2015,Riggers,3,52807.6,10518
2014,"Helpersinstallation, maintenance, & repair workers ",3,21141.8,24677
2015,"Helpersinstallation, maintenance, & repair workers ",3,23537.2,22460
2014,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",3,40297.1,237268
2015,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",3,40661.7,270671
2014,Production Occupations,2,36829.9,8639292
2015,Production Occupations,2,37784.8,8739799
2014,"Production, Transportation, & Material Moving Occupations",0,35338,17629802
2015,"Production, Transportation, & Material Moving Occupations",0,36213.5,17960445
2014,Firstline supervisors of production & operating workers,3,57588.7,875498
2015,Firstline supervisors of production & operating workers,3,58936.9,874163
2014,"Aircraft structure, surfaces, rigging, & systems assemblers",3,42672.6,5980
2015,"Aircraft structure, surfaces, rigging, & systems assemblers",3,40575.4,7975
2014,"Electrical, electronics, & electromechanical assemblers",3,28405.8,126553
2015,"Electrical, electronics, & electromechanical assemblers",3,32129.2,134623
2014,Engine & other machine assemblers,3,36476.6,15598
2015,Engine & other machine assemblers,3,39901.5,12087
2014,Structural metal fabricators & fitters,3,38808.1,28475
2015,Structural metal fabricators & fitters,3,38881.6,30140
2014,Miscellaneous assemblers & fabricators,3,30145.9,1006737
2015,Miscellaneous assemblers & fabricators,3,31367.7,1039916
2014,Bakers,3,21467.4,221764
2015,Bakers,3,21689.6,226713
2014,"Butchers & other meat, poultry, & fish processing workers",3,27688.1,256826
2015,"Butchers & other meat, poultry, & fish processing workers",3,28367.8,258028
2014,"Food & tobacco roasting, baking, & drying machine operators & tenders",3,27941.2,8092
2015,"Food & tobacco roasting, baking, & drying machine operators & tenders",3,30855.1,9551
2014,Food batchmakers,3,24376.4,86200
2015,Food batchmakers,3,23075.5,92762
2014,Food cooking machine operators & tenders,3,22634.6,8110
2015,Food cooking machine operators & tenders,3,19676.1,8471
2014,"Food processing workers, all other",3,31738.1,126209
2015,"Food processing workers, all other",3,31697.5,131206
2014,Computer control programmers & operators,3,45523.4,81833
2015,Computer control programmers & operators,3,44803.6,91766
2014,"Extruding & drawing machine setters, operators, & tenders, metal & plastic",3,38661.5,11298
2015,"Extruding & drawing machine setters, operators, & tenders, metal & plastic",3,36694.3,13094
2014,"Forging machine setters, operators, & tenders, metal & plastic",3,39242.4,8141
2015,"Forging machine setters, operators, & tenders, metal & plastic",3,40400.9,8007
2014,"Rolling machine setters, operators, & tenders, metal & plastic",3,43186.4,8949
2015,"Rolling machine setters, operators, & tenders, metal & plastic",3,45062.9,8653
2014,"Machine tool cutting setters, operators, & tenders, metal & plastic",3,33038.1,150282
2015,"Machine tool cutting setters, operators, & tenders, metal & plastic",3,33898.5,146679
2014,Machinists,3,45711.7,368394
2015,Machinists,3,45281.3,346067
2014,"Metal furnace operators, tenders, pourers, & casters",3,42078.5,27217
2015,"Metal furnace operators, tenders, pourers, & casters",3,43130.5,23114
2014,"Model makers, patternmakers, & molding machine setters, metal & plastic",3,36723.8,41313
2015,"Model makers, patternmakers, & molding machine setters, metal & plastic",3,38086.7,47782
2014,Tool & die makers,3,54089.8,56312
2015,Tool & die makers,3,54373.7,55737
2014,"Welding, soldering, & brazing workers",3,40033.1,597977
2015,"Welding, soldering, & brazing workers",3,41094.7,607908
2014,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",3,34724.2,413797
2015,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",3,35655.8,426881
2014,Prepress technicians & workers,3,40163.7,33050
2015,Prepress technicians & workers,3,31692.2,23842
2014,Printing press operators,3,34779.9,176918
2015,Printing press operators,3,34609.7,177687
2014,Print binding & finishing workers,3,27298.1,18922
2015,Print binding & finishing workers,3,28320.4,22282
2014,Laundry & drycleaning workers,3,20366.8,195425
2015,Laundry & drycleaning workers,3,20703.5,175858
2014,"Pressers, textile, garment, & related materials",3,19795.7,46033
2015,"Pressers, textile, garment, & related materials",3,19780.8,41273
2014,Sewing machine operators,3,22487,179321
2015,Sewing machine operators,3,21885.1,177042
2014,Shoe & leather workers,3,25710,11520
2015,Shoe & leather workers,3,25819.2,9341
2014,"Tailors, dressmakers, & sewers",3,26159.7,55749
2015,"Tailors, dressmakers, & sewers",3,27171.7,51271
2014,"Textile knitting & weaving machine setters, operators, & tenders",3,31517.6,5835
2015,"Textile knitting & weaving machine setters, operators, & tenders",3,27112.5,7476
2014,"Textile winding, twisting, & drawing out machine setters, operators, & tenders",3,27688.7,12597
2015,"Textile winding, twisting, & drawing out machine setters, operators, & tenders",3,25038,12421
2014,"Textile bleaching & dyeing, & cutting machine setters, operators, & tenders",3,24909.4,11854
2015,"Textile bleaching & dyeing, & cutting machine setters, operators, & tenders",3,25064.9,11403
2014,Upholsterers,3,29633.4,24576
2015,Upholsterers,3,31229.5,24631
2014,"Miscellaneous textile, apparel, & furnishings workers except upholsterers",3,32487.1,18603
2015,"Miscellaneous textile, apparel, & furnishings workers except upholsterers",3,31041.4,17255
2014,Cabinetmakers & bench carpenters,3,33112.7,45683
2015,Cabinetmakers & bench carpenters,3,31565.7,39086
2014,Furniture finishers,3,29048.5,10541
2015,Furniture finishers,3,29072.6,10718
2014,"Sawing machine setters, operators, & tenders, wood",3,26354.4,33043
2015,"Sawing machine setters, operators, & tenders, wood",3,26484.6,32055
2014,"Woodworking machine setters, operators, & tenders, except sawing",3,25333.4,19119
2015,"Woodworking machine setters, operators, & tenders, except sawing",3,25001,15020
2014,"Miscellaneous woodworkers, including model makers & patternmakers",3,32023.8,21546
2015,"Miscellaneous woodworkers, including model makers & patternmakers",3,32561,25313
2014,"Power plant operators, distributors, & dispatchers",3,83188.5,45652
2015,"Power plant operators, distributors, & dispatchers",3,89249.5,47602
2014,Stationary engineers & boiler operators,3,59456.5,80363
2015,Stationary engineers & boiler operators,3,59850.7,96950
2014,Water & wastewater treatment plant & system operators,3,47887.4,88790
2015,Water & wastewater treatment plant & system operators,3,50637.5,84042
2014,Miscellaneous plant & system operators,3,65387.6,41778
2015,Miscellaneous plant & system operators,3,63569.3,46350
2014,"Chemical processing machine setters, operators, & tenders",3,52828.6,55265
2015,"Chemical processing machine setters, operators, & tenders",3,51997.8,52897
2014,"Crushing, grinding, polishing, mixing, & blending workers",3,36988,88714
2015,"Crushing, grinding, polishing, mixing, & blending workers",3,38369.8,92609
2014,Cutting workers,3,25513.9,67988
2015,Cutting workers,3,28127.9,67078
2014,"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",3,34769.8,31971
2015,"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",3,37818.4,25165
2014,"Furnace, kiln, oven, drier, & kettle operators & tenders",3,42658.2,11210
2015,"Furnace, kiln, oven, drier, & kettle operators & tenders",3,37618.2,14159
2014,"Inspectors, testers, sorters, samplers, & weighers",3,40965.1,791738
2015,"Inspectors, testers, sorters, samplers, & weighers",3,41979.4,790246
2014,Jewelers & precious stone & metal workers,3,34495.5,31339
2015,Jewelers & precious stone & metal workers,3,36870.3,33396
2014,"Medical, dental, & ophthalmic laboratory technicians",3,35038.7,84639
2015,"Medical, dental, & ophthalmic laboratory technicians",3,34934.8,84627
2014,Packaging & filling machine operators & tenders,3,24877.6,266707
2015,Packaging & filling machine operators & tenders,3,25716.9,259215
2014,Painting workers,3,35786.5,132608
2015,Painting workers,3,36022,144193
2014,Photographic process workers & processing machine operators,3,31784,35439
2015,Photographic process workers & processing machine operators,3,34885.5,27649
2014,Adhesive bonding machine operators & tenders,3,28557.1,8471
2015,Adhesive bonding machine operators & tenders,3,31119.6,8202
2014,Etchers & engravers,3,32194.9,8432
2015,Etchers & engravers,3,32244,8261
2014,"Molders, shapers, & casters, except metal & plastic",3,33442.1,27913
2015,"Molders, shapers, & casters, except metal & plastic",3,36418.9,27794
2014,"Paper goods machine setters, operators, & tenders",3,34742.7,28190
2015,"Paper goods machine setters, operators, & tenders",3,36621.4,22452
2014,Tire builders,3,48557.4,12980
2015,Tire builders,3,44525.9,14750
2014,Helpersproduction workers,3,22856,46998
2015,Helpersproduction workers,3,24723.3,47627
2014,"Miscellaneous production workers, including semiconductor processors",3,33253.8,1200217
2015,"Miscellaneous production workers, including semiconductor processors",3,34892,1269238
2014,Transportation & Material Moving Occupations,1,33904.4,8990510
2015,Transportation & Material Moving Occupations,1,34724.1,9220646
2014,Supervisors of transportation & material moving workers,3,51139,212841
2015,Supervisors of transportation & material moving workers,3,50916,217238
2014,Transportation Occupations,2,40127.2,5211945
2015,Transportation Occupations,2,41184.8,5366014
2014,Aircraft pilots & flight engineers,3,116347,140957
2015,Aircraft pilots & flight engineers,3,118880,148762
2014,Air traffic controllers & airfield operations specialists,3,82581.2,43306
2015,Air traffic controllers & airfield operations specialists,3,84584.2,43466
2014,Flight attendants,3,41888.4,96327
2015,Flight attendants,3,43969.5,101944
2014,"Ambulance drivers & attendants, except emergency medical technicians",3,26819.3,16427
2015,"Ambulance drivers & attendants, except emergency medical technicians",3,26022.9,13127
2014,Bus drivers,3,26482,573025
2015,Bus drivers,3,27270,608347
2014,Driver/sales workers & truck drivers,3,38695.6,3208799
2015,Driver/sales workers & truck drivers,3,40001.3,3270484
2014,Taxi drivers & chauffeurs,3,26268.3,305150
2015,Taxi drivers & chauffeurs,3,25987.2,337666
2014,"Motor vehicle operators, all other",3,18629.4,47027
2015,"Motor vehicle operators, all other",3,18271.1,47903
2014,Locomotive engineers & operators,3,77453.6,49869
2015,Locomotive engineers & operators,3,82285.2,43338
2014,Railroad conductors & yardmasters,3,65972.6,51442
2015,Railroad conductors & yardmasters,3,66899.2,53841
2014,"Subway, streetcar, & other rail transportation workers",3,59681.8,16451
2015,"Subway, streetcar, & other rail transportation workers",3,53637.9,20147
2014,Ship & boat captains & operators,3,68732.2,45657
2015,Ship & boat captains & operators,3,73473.8,46130
2014,"Sailors & marine oilers, & ship engineers",3,45033.8,33556
2015,"Sailors & marine oilers, & ship engineers",3,47542,37862
2014,Parking lot attendants,3,19790.4,90828
2015,Parking lot attendants,3,21295.8,81544
2014,Automotive & watercraft service attendants-,3,20400.4,98686
2015,Automotive & watercraft service attendants-,3,19267.8,96259
2014,Transportation inspectors,3,56598.2,46756
2015,Transportation inspectors,3,57956.3,43837
2014,"Transportation attendants, except flight attendants",3,27410.6,19590
2015,"Transportation attendants, except flight attendants",3,24714.2,33737
2014,"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",3,38047.1,23597
2015,"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",3,44189.9,30041
2014,Material Moving Occupations,2,25320.9,3778565
2015,Material Moving Occupations,2,25730.3,3854632
2014,Crane & tower operators,3,56829.7,64283
2015,Crane & tower operators,3,63031.7,59004
2014,"Dredge, excavating, & loading machine operators",3,41624.4,27371
2015,"Dredge, excavating, & loading machine operators",3,39507.8,31337
2014,Industrial truck & tractor operators,3,31403.7,541328
2015,Industrial truck & tractor operators,3,31648,575932
2014,Cleaners of vehicles & equipment,3,21308.1,354341
2015,Cleaners of vehicles & equipment,3,20466.7,349602
2014,"Laborers & freight, stock, & material movers, hand",3,24806.1,2210901
2015,"Laborers & freight, stock, & material movers, hand",3,25376.6,2229704
2014,Machine feeders & offbearers,3,27116.7,25367
2015,Machine feeders & offbearers,3,22428.7,27954
2014,"Packers & packagers, hand",3,19348,467024
2015,"Packers & packagers, hand",3,20218.2,481124
2014,Pumping station operators,3,55782.2,29184
2015,Pumping station operators,3,54155.7,27415
2014,Refuse & recyclable material collectors,3,28805.3,83787
2015,Refuse & recyclable material collectors,3,28984.6,90007
2014,"Conveyor operators & tenders, & hoist & winch operators",3,40514.2,16110
2015,"Conveyor operators & tenders, & hoist & winch operators",3,40822.9,14740
2014,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",3,36912.5,50523
2015,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",3,37253.6,58154
2014,Military specific occupations,1,43201.2,500849
2015,Military specific occupations,1,44136.8,528001
2014,Military officer special & tactical operations leaders,3,65836.5,34242
2015,Military officer special & tactical operations leaders,3,66346.8,42483
2014,Firstline enlisted military supervisors,3,58677.4,84215
2015,Firstline enlisted military supervisors,3,59769.7,92975
2014,Military enlisted tactical operations & air/weapons specialists & crew members,3,25949.4,152070
2015,Military enlisted tactical operations & air/weapons specialists & crew members,3,26263.5,152227
2014,"Military, rank not specified",3,45567.9,230322
2015,"Military, rank not specified",3,45484,240316
